70_100,70_80,70_50,70_30,70_0,60_100,60_80,60_50,60_30,60_0,50_100,50_80,50_50,50_30,50_0,40_100,40_80,40_50,40_30,40_0
-1.92197857,-2.015398336,-0.9642986491,-0.3919127067,-6.246510594,-1.555559479,-1.251179499,-0.8210817344,-0.5032587704,-0.04378424541,-1.196401161,-0.9799780542,-0.6215814137,-0.2608781411,-0.03791817493,-0.9019115712,-0.01970011719,-0.02649923608,-0.2894166958,-0.03002397248
-2.021686278,-2.140358435,-1.05237094,-0.4582316681,0.8247868564,-1.635440703,-1.331885606,-0.9097177389,-0.5755205243,-0.08734399076,-1.257962025,-1.044389622,-0.6796942203,-0.3069850238,-0.07670771301,-0.9525950552,-0.03740524846,-0.05191822539,-0.3288495415,-0.05918830718
-2.248972409,-2.415634785,-1.25214057,-0.609542241,-1.999344424,-1.816597511,-1.515509185,-1.109944846,-0.7383660453,-0.1841832119,-1.395926786,-1.190651033,-0.8108374242,-0.4114820949,-0.1634035022,-1.067756088,-0.08142121005,-0.1115490027,-0.4170718393,-0.1237288293
-2.581371976,-2.901761805,-1.656225379,-0.9556771832,-1.944129307,-2.124881976,-1.834429966,-1.464364423,-1.065331735,-0.4221981759,-1.645953877,-1.445935559,-1.06747725,-0.6374408579,-0.3675429503,-1.254400321,-0.1731130633,-0.2419699423,-0.5962426083,-0.269100362
-2.930517204,-3.537908973,-2.28294874,-1.542850659,-3.480945263,-2.59195258,-2.265465088,-1.998993667,-1.592317465,-0.8358511393,-2.007828602,-1.790915715,-1.443901171,-0.9909143117,-0.7029004451,-1.490978049,-0.3147918244,-0.4434407733,-0.8578722571,-0.494243313
-3.268690359,-4.267838781,-3.09681076,-2.356446659,-5.59431079,-3.139258744,-2.771390788,-2.672414752,-2.287678044,-1.415949595,-2.427147896,-2.190509787,-1.904013602,-1.445231159,-1.14992927,-1.749629312,-0.5031841551,-0.7023602537,-1.173516762,-0.7805377011
-3.662968915,-4.99510247,-3.9459843,-3.235980632,-7.146365418,-3.661003225,-3.277670687,-3.35681073,-3.011999455,-2.041724121,-2.816389303,-2.574319898,-2.35272527,-1.902874702,-1.611343891,-1.986890096,-0.7054480979,-0.9636567198,-1.473954475,-1.064467576
-3.842743287,-5.332318721,-4.338123096,-3.642960269,-7.879682518,-3.908214117,-3.510632924,-3.672656215,-3.346153325,-2.329018959,-2.999414239,-2.751139891,-2.559615808,-2.114744017,-1.824078015,-2.096104097,-0.8009830157,-1.085627514,-1.611945122,-1.194544339
-4.185847208,-5.804297658,-4.893640125,-4.226193207,-9.130606338,-4.241595674,-3.843561198,-4.109795554,-3.809853583,-2.737257544,-3.233809687,-2.988821604,-2.831891674,-2.397929682,-2.113198894,-2.238093537,-0.9368237443,-1.247903303,-1.787618882,-1.36604846
-4.937385025,-6.867490194,-6.12086213,-5.516305812,-11.44490927,-4.987456793,-4.577687121,-5.074640217,-4.832632302,-3.635057531,-3.752108501,-3.512808328,-3.431677111,-3.022680786,-2.750951743,-2.550744791,-1.240630203,-1.609017126,-2.173874966,-1.742181263
-6.623356564,-8.859098108,-8.388848344,-7.905985238,-15.3115026,-6.350851254,-5.962437071,-6.824236545,-6.67418446,-5.263152308,-4.658077197,-4.450511277,-4.468667002,-4.109505846,-3.866324928,-3.09992325,-1.809413048,-2.23810788,-2.814663369,-2.379850312
-9.317370716,-11.77268337,-11.64056677,-11.32262086,-20.15573543,-8.287128447,-7.977701979,-9.281987434,-9.226450145,-7.527458103,-5.895833906,-5.755117486,-5.85431291,-5.563670497,-5.359932442,-3.85370175,-2.623629292,-3.079873475,-3.632811078,-3.206412577
-12.58238444,-15.12848372,-15.33516314,-15.19079457,-25.01596286,-10.4506412,-10.27508517,-12.00441877,-12.01364607,-10.00709071,-7.229985663,-7.187141308,-7.318539642,-7.094646961,-6.930624487,-4.671079431,-3.527976677,-3.962018343,-4.454881879,-4.046968391
-15.55003619,-18.07164802,-18.51998347,-18.50933184,-28.72536502,-12.28475023,-12.24491642,-14.27117444,-14.30234767,-12.05148215,-8.316947151,-8.365505435,-8.482177468,-8.304171041,-8.166113075,-5.332112434,-4.272448718,-4.650813425,-5.072541691,-4.684511243
-16.91212626,-19.42246822,-19.9825664,-20.03110654,-30.42453754,-13.12543437,-13.14969657,-15.31082895,-15.34910061,-12.98496551,-8.814225808,-8.905492709,-9.014269407,-8.856896753,-8.732044702,-5.635009822,-4.612841933,-4.965192488,-5.353813668,-4.974828714
-18.52936671,-20.97210814,-21.61283232,-21.7178217,-32.08799808,-14.05061522,-14.14601707,-16.41376149,-16.44266532,-13.96809556,-9.331554975,-9.468282373,-9.549105371,-9.408628834,-9.291725257,-5.941887596,-4.965045539,-5.273314834,-5.618168155,-5.249970247
-22.08027444,-24.3644152,-25.18896855,-25.40485593,-35.59292695,-16.07328747,-16.32147207,-18.82487441,-18.82603232,-16.10823952,-10.45677932,-10.70131522,-10.71365476,-10.60685878,-10.51170146,-6.61455555,-5.730282695,-5.941159296,-6.189902532,-5.846588422
-27.49376838,-29.34024458,-30.22957025,-30.5370651,-39.72487766,-18.90038729,-19.33054808,-21.99034366,-21.88581205,-18.882442,-11.90200382,-12.28513115,-12.13864278,-12.05757022,-11.97638847,-7.439807104,-6.688624914,-6.725081488,-6.82198614,-6.516000661
-33.6031449,-34.65217234,-35.289224,-35.57292423,-42.74812422,-21.71567943,-22.25115487,-24.81477151,-24.51451785,-21.30981379,-13.14322551,-13.64619393,-13.2629474,-13.18115648,-13.10094539,-8.087120488,-7.474087026,-7.297522643,-7.224889392,-6.962524602
-38.58052106,-38.61861176,-38.67418253,-38.7994717,-43.44469451,-23.57047498,-24.07910178,-26.27288586,-25.75949515,-22.52199269,-13.70277639,-14.27513143,-13.65545992,-13.55328727,-13.46526621,-8.295926477,-7.797393426,-7.442239342,-7.233490019,-7.012396095
-40.83576051,-40.06583673,-39.50990483,-39.45422606,-42.3552072,-23.95069888,-24.37591809,-26.13941307,-25.49053098,-22.36884144,-13.49551757,-14.09105366,-13.33289664,-13.21420267,-13.1211124,-8.077428771,-7.658815184,-7.213732734,-6.932621836,-6.744210151
-41.83292371,-40.70925485,-39.87296086,-39.7238846,-41.35587681,-24.11302539,-24.49165445,-26.06093982,-25.34758771,-22.28343155,-13.38910994,-13.99987054,-13.17460779,-13.04878822,-12.95559692,-7.972452658,-7.587232652,-7.101948663,-6.790154808,-6.617580252
-41.64441146,-40.21763644,-39.11235094,-38.88590474,-40.02749134,-23.58863969,-23.92643972,-25.28009717,-24.54890752,-21.60657922,-12.9175797,-13.53767928,-12.69158914,-12.56363244,-12.47383046,-7.667022346,-7.320323019,-6.824651523,-6.500158366,-6.342956418
-40.88598398,-39.04451689,-37.36723535,-36.96133793,-36.00790876,-22.38830663,-22.63918922,-23.52131933,-22.75591621,-20.08921398,-11.86100789,-12.50163515,-11.61229742,-11.48033994,-11.40179772,-6.98680568,-6.718631995,-6.203846262,-5.856075531,-5.734953069
-35.17499384,-33.17990367,-31.19636469,-30.71252472,-28.28665255,-18.38803382,-18.64591178,-19.09315552,-18.47325027,-16.30842193,-9.324277256,-10.02075809,-9.243796781,-9.144049054,-9.100565994,-5.51660435,-5.367326119,-4.924911349,-4.607804454,-4.535223238
-24.30177817,-22.35714208,-20.85878216,-20.54343196,-17.90759077,-11.81163727,-12.2767692,-12.47614219,-12.22323735,-10.78273542,-5.691376674,-6.470793874,-5.986345172,-5.952832873,-5.958341269,-3.524029774,-3.508346932,-3.219864038,-2.990653716,-2.96568937
-12.97095606,-10.84398314,-10.1774921,-10.10527571,-8.303045927,-5.254799877,-5.936927312,-6.667719845,-6.794863914,-5.371084361,-2.295058701,-3.111537884,-2.920913481,-2.940853739,-2.969946585,-1.688709366,-1.772745649,-1.622102958,-1.495761887,-1.495133503
-6.335830168,-4.217324051,-3.784885343,-3.715176797,-2.274527401,-1.635016298,-2.284219619,1.984725507,2.130690239,-2.000157597,-0.3990090329,-1.154167767,-1.068541146,-1.085181814,-1.091491425,-0.6164852447,-0.732819122,-0.6210635871,-0.553428863,-0.5503408626
-3.761434803,-1.215123843,-0.8962745164,-0.8186264211,-0.04898222104,-0.001198351452,-0.6331758656,5.987635283,6.260205689,-0.4753084887,0.454097458,-0.2702069534,-0.2319916889,-0.2454192758,-0.2369429497,-0.1318531116,-0.2612190042,-0.1667524437,-0.1275895768,-0.1225080463
-2.174719834,-0.02162131423,0.4692431593,0.6578820698,1.839802907,0.6358734611,0.1244089,6.499973523,6.878994234,0.4240681385,0.8466578694,0.1912366367,0.2559032927,0.2714434212,0.3163422941,0.1373846274,0.01856506163,0.1363905168,0.1622831093,0.1807116343
0.3192853862,2.507896268,3.375935969,3.809821289,4.371758177,1.98954522,1.738852003,7.452759403,8.070130034,2.355431682,1.687325557,1.182449184,1.308490719,1.386083134,1.503606164,0.716248526,0.6200083568,0.790324283,0.7914420309,0.8377989125
0.2645492313,1.967576235,3.161619203,3.72750286,4.512379891,1.732228126,1.756591604,1.71726994,1.852942044,2.814208773,1.715043927,1.383262958,1.655106988,1.831093272,2.055724961,0.9014077572,0.8769899748,1.173724953,1.172899619,1.278209766
-0.7654277532,0.601113049,1.186889267,1.229327282,1.813515581,1.024914939,1.003576508,2.251744881,1.847778998,1.538555081,1.299045079,0.9877138803,1.227456717,1.413347382,1.646915238,0.7248840969,0.765793968,1.134482247,1.111713059,1.277643868
-1.081496841,-0.05544626723,-0.26690918,-0.8536199501,-0.8391541455,0.6871644787,0.5162605076,0.7388304954,-0.6682142291,-0.1135072332,0.9820900668,0.5887802824,0.6016040937,0.6708578638,0.7818538246,0.5004298038,0.5561267853,0.8740164515,0.7748893455,0.9614593991
-1.019735942,-0.3113685095,-0.9038651857,-1.634376115,-2.027796588,0.5993262967,0.3316627539,0.2828002164,-1.863020576,-0.9443611156,0.8501792992,0.4019957436,0.2141556942,0.1613265018,0.1552586747,0.3900041539,0.4311819538,0.6582775622,0.4646566899,0.6413688714
-0.9885878268,-0.4261440784,-1.191924247,-1.979620578,-2.32215851,0.5606989573,0.2505532543,0.08115582367,-2.399125345,-1.319561965,0.7893622258,0.3177602289,0.03822908463,-0.0702823817,-0.1310537663,0.3406679805,0.3755807368,0.5605059119,0.3222782968,0.4934313711
-0.9160741836,-0.4943567972,-1.362911288,-2.095372485,-2.523047611,0.5647425214,0.2075358273,-0.5201838895,-2.849205327,-1.443929846,0.7638866249,0.2715334211,-0.08337907287,-0.2268822599,-0.3165383547,0.3181178665,0.3424041889,0.4813472043,0.1960942131,0.3572415683
-0.7628574961,-0.643274445,-1.733430392,-2.340217821,-2.612884448,0.572086038,0.1188851214,-1.823811898,-3.801768284,-1.706703744,0.7084875017,0.1702911263,-0.3457198585,-0.56214142,-0.7154602064,0.2699769904,0.2725890616,0.3116912156,-0.07699212297,0.0607112663
-0.4950248564,-0.7156254328,-1.96208719,-2.377745373,-2.378173397,0.6082215263,0.07656445144,-3.641913981,-3.819241525,-1.657997344,0.696281128,0.1049590379,-0.5701912448,-0.7749498603,-0.939693792,0.2592678822,0.2269883977,0.1450523316,-0.3440255284,-0.2283541685
-0.2110842171,-0.6827849813,-1.904204777,-2.242762193,-1.969423213,0.5809118436,0.0704982049,-4.386891517,-2.420722275,-1.484917379,0.6843254943,0.08497234061,-0.6982910238,-0.7915303056,-0.9727352506,0.279730435,0.2006340777,0.02252297928,-0.520605973,-0.4034276215
-0.02152168251,-0.6166726277,-1.684303161,-1.95416629,-1.607480806,0.5111188403,0.0649486673,-3.839543049,-0.8703914098,-1.292812169,0.6458772911,0.08601007938,-0.7397092668,-0.7019711619,-0.9276017259,0.3079291481,0.1797479398,-0.04323822095,-0.5969623833,-0.4678083777
0.07810614963,-0.5496543749,-1.514737779,-1.688527867,-1.381480683,0.4673729948,0.06548743385,-3.082330696,-0.1335455702,-1.141167571,0.6194482647,0.09409336101,-0.7311284332,-0.6284961577,-0.870913488,0.3292021234,0.1618803472,-0.06913206222,-0.6085245557,-0.4784781155
0.1223700608,-0.5186519785,-1.435648647,-1.5673026,-1.278500749,0.4468617047,0.06565632235,-2.741559041,0.2001485655,-1.071454822,0.607856465,0.09835529337,-0.7262113681,-0.5953794247,-0.8447285341,0.3389099251,0.1533960512,-0.08108391297,-0.6132054818,-0.4828592449
0.1654012358,-0.4657416806,-1.367115218,-1.466439302,-1.195916394,0.4417269025,0.07594661089,-2.417581473,0.307172085,-1.008403195,0.606817925,0.111820494,-0.7034897701,-0.5723494146,-0.8107730073,0.349843118,0.1434868719,-0.08725106874,-0.603813501,-0.4781263935
0.258930253,-0.3461223573,-1.214857898,-1.24894577,-1.028210061,0.4264177312,0.1016802309,-1.730761959,0.5369262349,-0.8705693555,0.6060773206,0.1431286714,-0.6519405946,-0.5238549906,-0.7363635664,0.3741980569,0.1204626275,-0.1018347029,-0.5830285257,-0.4672918859
0.4165114903,-0.08886038438,-1.009417386,-1.029210552,-0.8260004962,0.4548457743,0.1884264831,-1.035590186,0.3246452056,-0.7134823003,0.637751673,0.2217820886,-0.538508621,-0.4852581955,-0.6308453377,0.4214738694,0.08914326799,-0.1143238043,-0.5299647345,-0.4343488267
0.647498472,0.3154412216,-0.7636153915,-0.832801055,-0.6514622139,0.5305760146,0.3524662222,-0.4947247911,-0.1943097733,-0.5784755341,0.7028498716,0.3435001951,-0.3877265901,-0.4519103516,-0.5237683434,0.4960556809,0.05944683096,-0.1204259409,-0.456799854,-0.3854423058
0.908787004,0.7814850532,-0.5090238628,-0.6755624412,-0.5455814843,0.6335438297,0.5575365922,-0.1614251498,-0.6947594641,-0.4873032425,0.7826271475,0.4806663722,-0.2382017149,-0.4192602707,-0.4359741891,0.5787304589,0.0361109348,-0.1167007254,-0.3820013012,-0.335748725
1.106646475,1.16696664,-0.3047422013,-0.5630486207,-0.4128997416,0.7319797303,0.7299305402,0.009467873485,-0.9515749621,-0.43378979,0.8492664123,0.5944037677,-0.1218420854,-0.387905773,-0.3782618601,0.6461963061,0.02236383269,-0.1074397712,-0.3221439541,-0.2986659497
1.199550745,1.335976759,-0.2112032289,-0.5135818318,-0.5421496376,0.7769356598,0.810192744,0.08946254112,-1.062184848,-0.4093838746,0.8850264318,0.6471960614,-0.06908138147,-0.3750232856,-0.3519705289,0.6772529632,0.01519809536,-0.1043648246,-0.2950539857,-0.2816207724
1.277263494,1.506426381,-0.1161540207,-0.4601544856,-0.4076376649,0.8311496677,0.8907553655,0.1628119707,-1.093835603,-0.386734152,0.9203421558,0.7034178692,-0.01237097746,-0.3563142084,-0.3282436222,0.7105254325,0.01110478256,-0.09814410178,-0.2645871026,-0.2648158874
1.451577094,1.879674264,0.09191400906,-0.3487049651,-0.2318857243,0.9631597053,1.069051781,0.3143981315,-1.168919141,-0.3365870532,1.001579834,0.8272215301,0.1096640383,-0.3184162568,-0.2764536312,0.782857935,3.72E-05,-0.08740930015,-0.1993371353,-0.2278364001
1.574399693,2.304666836,0.3631513076,-0.1872510113,-0.3136890074,1.168579916,1.296764897,0.5260523889,-1.107977327,-0.2656032228,1.120711375,1.000872517,0.285389809,-0.2532386142,-0.2112172204,0.8871264763,-0.008190908254,-0.06953915864,-0.1010160626,-0.1774062049
1.59582282,2.649329718,0.6461848809,0.00603425403,-0.3029542334,1.417664475,1.524329874,0.7376942056,-0.9494154585,-0.1829610074,1.262033797,1.190522431,0.483486814,-0.1599050403,-0.1423930833,1.004633681,-0.009685200832,-0.04740179498,0.0140052923,-0.1211087692
1.53922342,2.843265638,0.8998143098,0.192597554,0.3082277068,1.647761202,1.705455493,0.9307917172,-0.7528435118,-0.1031866777,1.403103972,1.353903206,0.6636386578,-0.04350275998,-0.07811007547,1.111478718,-0.005753197217,-0.0247947781,0.1219390419,-0.0666875273
1.503332297,2.914199261,1.091121508,0.3204028519,-1.080829505,1.803482157,1.818704705,1.125939583,-0.7129735833,-0.05592791739,1.507173035,1.458691542,0.7838024697,0.0456047606,-0.03980858547,1.183879804,-0.001413473214,-0.01051888535,0.1935699654,-0.03376069273
1.482841914,2.944683513,1.172376372,0.3750055498,3.238736364,1.875865949,1.867152529,1.211155749,-0.6973395866,-0.03430900746,1.554917459,1.504959787,0.8365763361,0.08564039799,-0.02243243033,1.21565208,-0.00120478721,-0.005483226958,0.2253895914,-0.01868970243